variable_name,tolerance_plus,tolerance_minus
Time_on_machine,,
Cushion,0.5,-0.5
Injection_time,0.03,-0.03
Dosage_time,1.0,-1.0
Injection_pressure,100.0,-100.0
Switch_pressure,100.0,-100.0
Cycle_time,,
Extruder_start_position,,
Cyl_tmp_z1,5.0,-5.0
Cyl_tmp_z2,5.0,-5.0
Cyl_tmp_z3,5.0,-5.0
Cyl_tmp_z4,5.0,-5.0
Cyl_tmp_z5,5.0,-5.0
Cyl_tmp_z6,5.0,-5.0
Cyl_tmp_z7,5.0,-5.0
Switch_position,0.05,-0.05
Machine_status,,
Scrap_counter,,
Shot_counter,,
Shot_size,,
Extruder_torque,,
Peak_pressure_time,,
Peak_pressure_position,,
Ejector_fix_deviation_torque,,
Alrams_array,,
